Entity,Code,Year,Prevalence
Kiribati,KIR,2024,24.6
Kiribati,KIR,2011,25.3
"Korea, Dem. People's Rep.",PRK,2024,9.9
"Korea, Dem. People's Rep.",PRK,2011,8.4
"Korea, Rep.",KOR,2024,9.6
"Korea, Rep.",KOR,2011,7.5
Kosovo,XKX,2024,10.4
Kuwait,KWT,2024,25.6
Kuwait,KWT,2011,20.7
Kyrgyz Republic,KGZ,2024,7.6
Kyrgyz Republic,KGZ,2011,6.3
Lao PDR,LAO,2024,6.7
Lao PDR,LAO,2011,3.3
Latvia,LVA,2024,7.1
Latvia,LVA,2011,7.8
Lebanon,LBN,2024,12.3
Lebanon,LBN,2011,19.6
Lesotho,LSO,2024,6.2
Lesotho,LSO,2011,3.4
Liberia,LBR,2024,9.2
Liberia,LBR,2011,3.3
Libya,LBY,2024,15.8
Libya,LBY,2011,13.8
Liechtenstein,LIE,2024,7.2
Liechtenstein,LIE,2011,4.7
Lithuania,LTU,2024,7.5
Lithuania,LTU,2011,7.8
Luxembourg,LUX,2024,5.8
Luxembourg,LUX,2011,4.5
"Macao SAR, China",MAC,2024,8.1
"Macao SAR, China",MAC,2011,7.2
Madagascar,MDG,2024,4.6
Madagascar,MDG,2011,4.7
Malawi,MWI,2024,5.7
Malawi,MWI,2011,5.6
Malaysia,MYS,2024,21.1
Malaysia,MYS,2011,12.1
Maldives,MDV,2024,9.5
Maldives,MDV,2011,9.2
Mali,MLI,2024,4.8
Mali,MLI,2011,1.9
Malta,MLT,2024,10.0
Malta,MLT,2011,6.6
Marshall Islands,MHL,2024,25.7
Marshall Islands,MHL,2011,21.8
Mauritania,MRT,2024,5.2
Mauritania,MRT,2011,4.3
Mauritius,MUS,2024,20.1
Mauritius,MUS,2011,14.8
Mauritius,MUS,2000,15.0
Mexico,MEX,2024,16.4
Mexico,MEX,2011,15.6
Mexico,MEX,2000,14.2
"Micronesia, Fed. Sts.",FSM,2024,19.2
"Micronesia, Fed. Sts.",FSM,2011,15.7
Moldova,MDA,2024,6.3
Moldova,MDA,2011,2.7
Monaco,MCO,2024,6.9
Monaco,MCO,2011,5.6
Mongolia,MNG,2024,10.3
Mongolia,MNG,2011,7.1
Montenegro,MNE,2024,10.7
Montenegro,MNE,2011,7.7
Morocco,MAR,2024,11.9
Morocco,MAR,2011,6.8
Mozambique,MOZ,2024,3.0
Mozambique,MOZ,2011,3.1
Myanmar,MMR,2024,6.7
Myanmar,MMR,2011,7.1
Namibia,NAM,2024,5.3
Namibia,NAM,2011,7.8
Nauru,NRU,2024,21.8
Nauru,NRU,2011,20.4
Nepal,NPL,2024,7.7
Nepal,NPL,2011,3.6
Netherlands,NLD,2024,5.0
Netherlands,NLD,2011,5.3
New Caledonia,NCL,2024,22.0
New Caledonia,NCL,2011,8.6
New Zealand,NZL,2024,6.7
New Zealand,NZL,2011,8.6
Nicaragua,NIC,2024,10.4
Nicaragua,NIC,2011,11.0
Niger,NER,2024,4.1
Niger,NER,2011,4.2
Nigeria,NGA,2024,3.0
Nigeria,NGA,2011,4.8
North Macedonia,MKD,2024,7.4
North Macedonia,MKD,2011,7.7
Norway,NOR,2024,4.8
Norway,NOR,2011,4.7
Oman,OMN,2024,17.0
Oman,OMN,2011,10.5
Pakistan,PAK,2024,31.4
Pakistan,PAK,2011,7.9
Pakistan,PAK,2000,11.8
Palau,PLW,2024,19.3
Palau,PLW,2011,11.1
Panama,PAN,2024,11.1
Panama,PAN,2011,9.4
Papua New Guinea,PNG,2024,14.1
Papua New Guinea,PNG,2011,7.6
Papua New Guinea,PNG,2000,15.5
Paraguay,PRY,2024,9.4
Paraguay,PRY,2011,6.5
Peru,PER,2024,6.4
Peru,PER,2011,6.0
Philippines,PHL,2024,7.5
Philippines,PHL,2011,9.7
Poland,POL,2024,8.1
Poland,POL,2011,9.0
Portugal,PRT,2024,10.5
Portugal,PRT,2011,9.6
Puerto Rico (US),PRI,2024,10.9
Puerto Rico (US),PRI,2011,13.0
Qatar,QAT,2024,24.6
Qatar,QAT,2011,19.8
Romania,ROU,2024,7.5
Romania,ROU,2011,7.7
Russian Federation,RUS,2024,5.9
Russian Federation,RUS,2011,9.7
Rwanda,RWA,2024,2.1
Rwanda,RWA,2011,3.1
Samoa,WSM,2024,25.4
Samoa,WSM,2011,7.7
San Marino,SMR,2024,8.6
San Marino,SMR,2011,5.5
Sao Tome and Principe,STP,2024,12.1
Sao Tome and Principe,STP,2011,5.5
Saudi Arabia,SAU,2024,23.1
Saudi Arabia,SAU,2011,19.6
Senegal,SEN,2024,3.8
Senegal,SEN,2011,3.2
Serbia,SRB,2024,10.5
Serbia,SRB,2011,7.7
Seychelles,SYC,2024,9.3
Seychelles,SYC,2011,12.1
Sierra Leone,SLE,2024,4.8
Sierra Leone,SLE,2011,3.2
Singapore,SGP,2024,11.4
Singapore,SGP,2011,9.5
Slovak Republic,SVK,2024,7.1
Slovak Republic,SVK,2011,5.7
Slovenia,SVN,2024,7.0
Slovenia,SVN,2011,7.5
Solomon Islands,SLB,2024,12.0
Solomon Islands,SLB,2011,15.3
"Somalia, Fed. Rep.",SOM,2024,5.8
"Somalia, Fed. Rep.",SOM,2011,4.3
South Africa,ZAF,2024,7.2
South Africa,ZAF,2011,7.0
South Sudan,SSD,2024,4.6
Spain,ESP,2024,9.7
Spain,ESP,2011,6.3
Sri Lanka,LKA,2024,10.2
Sri Lanka,LKA,2011,7.5
St. Kitts and Nevis,KNA,2024,13.8
St. Kitts and Nevis,KNA,2011,8.5
St. Kitts and Nevis,KNA,2000,12.1
St. Lucia,LCA,2024,11.4
St. Lucia,LCA,2011,8.4
St. Vincent and the Grenadines,VCT,2024,8.6
St. Vincent and the Grenadines,VCT,2011,8.8
Sudan,SDN,2024,19.0
Sudan,SDN,2011,8.6
Suriname,SUR,2024,13.8
Suriname,SUR,2011,8.9
Sweden,SWE,2024,5.8
Sweden,SWE,2011,4.2
Switzerland,CHE,2024,5.3
Switzerland,CHE,2011,5.9
Syrian Arab Republic,SYR,2024,19.0
Syrian Arab Republic,SYR,2011,9.9
Tajikistan,TJK,2024,8.0
Tajikistan,TJK,2011,6.3
Tanzania,TZA,2024,9.8
Tanzania,TZA,2011,2.8
Thailand,THA,2024,10.2
Thailand,THA,2011,7.5
Timor-Leste,TLS,2024,3.2
Timor-Leste,TLS,2011,7.5
Togo,TGO,2024,4.8
Togo,TGO,2011,3.3
Tonga,TON,2024,19.6
Tonga,TON,2011,12.7
Tonga,TON,2000,11.5
Trinidad and Tobago,TTO,2024,12.4
Trinidad and Tobago,TTO,2011,12.7
Trinidad and Tobago,TTO,2000,14.1
Tunisia,TUN,2024,16.0
Tunisia,TUN,2011,9.5
Turkiye,TUR,2024,16.5
Turkiye,TUR,2011,7.9
Turkmenistan,TKM,2024,7.1
Turkmenistan,TKM,2011,2.7
Tuvalu,TUV,2024,19.0
Tuvalu,TUV,2011,19.2
Uganda,UGA,2024,2.2
Uganda,UGA,2011,2.8
Ukraine,UKR,2024,6.0
Ukraine,UKR,2011,2.9
